,Question,Answer,Original,Score (original),Trained,Score (trained)
70,"What is multidrug resistance in human pathogens and why is it a growing concern?
[Answer]",Multidrug resistance refers to when bacteria become resistant to multiple antibiotics that would normally kill them or stop their growth. It is a growing concern because the number of patients infected with these multidrug resistant bacteria is increasing. This makes infections harder to treat as many common antibiotics are no longer effective.," Multidrug resistance (MDR) refers to the ability of microorganisms, such as bacteria, to resist the effects of multiple antibiotics or antimicrobial agents. This means that even if one antibiotic is effective against a particular pathogen, the pathogen can still survive and multiply when exposed to multiple antibiotics.

MDR is a growing concern for several reasons:

1. Increased incidence of ant",0.8," Multidrug resistance (MDR) is a mechanism of defense against antibiotics that is increasingly common in human pathogens. MDR is a result of a complex interplay between bacteria and antibiotics, where the bacteria can evade the antibiotic's lethal effects by a variety of mechanisms, including the production of inactivated antibiotic metabolites, the inhibition of the antibi",0.8
71,"Why do non-invasive imaging techniques have an insufficient resolution?
[Answer]","Non-invasive imaging techniques have an insufficient resolution to directly visualize the vascular pathology (e.g., intracranial atherosclerotic disease or dissection), endothelial injury, or thrombosis of perforating arteries."," Non-invasive imaging techniques, such as magnetic resonance imaging (MRI), computed tomography (CT), and ultrasound, have limited resolution due to several factors. Here are some reasons why non-invasive imaging techniques have an insufficient resolution:

1. Physics limitations: The resolution of any imaging technique is limited by the fundamental physical principles that govern the imaging process. For example, the diffraction limit sets a limit on the minimum",0.7," Non-invasive imaging techniques, such as magnetic resonance imaging (MRI), suffer from insufficient resolution due to several technical limitations. The main reasons for the low resolution are the poor signal-to-noise-ratio (SNR) and the motion artifacts. The SNR is directly related to the magnetic field strength and the design of the magnetic field gradient. Currently, most MRI machines operate with a fixed magnetic field gradient that is determined by the physical",0.7
72,"What is a non-Newtonian fluid?
[Answer]","A non-Newtonian fluid is a fluid that does not obey Newton's law of viscosity. Specifically, a non-Newtonian fluid exhibits a nonlinear relationship between the shear rate and shear stress. This is in contrast to a Newtonian fluid, where the shear stress is directly proportional to the shear rate."," A non-Newtonian fluid is a fluid whose viscosity (thickness or flowability) changes in response to changes in the force or stress applied to it, rather than remaining constant as in a Newtonian fluid. In other words, the viscosity of a non-Newtonian fluid depends on the shear rate or the velocity at which the fluid is flowing. Non-Newtonian fluids exhibit shear thinning behavior, meaning that their viscosity",0.8," A non-Newtonian fluid is one that does not obey the Newtonian fluid model, which assumes that the fluid's viscosity is independent of its shear stress. In reality, most fluids exhibit non-Newtonian behavior and the non-Newtonian nature is often responsible for striking characteristics of the fluid's behavior. Newtonian fluids are characterized by a constant shear-thinning behavior, where the fluid's viscosity remains constant",0.7
73,"What helps sustain long-term volunteer participation in mosquito control programs?
[Answer]","Long-term participation in mosquito control programs often relies on cultivation of strong relationships between the volunteers and scientists, and between volunteers and their communities. These interpersonal relationships act as extrinsic motivating factors for continued participation."," Thank you for the kind words! Sustaining long-term volunteer participation in mosquito control programs can be achieved through several strategies. Here are some key factors that can help:

1. Community engagement and ownership: When local communities are actively involved in the planning, implementation, and monitoring of mosquito control programs, they are more likely to feel invested in the program's success and continue to participate over the long term.
2. Clear goals",0.5,"1. community support and direct personal involvement
2. regular communication and engagement with volunteers
3. recognition and appreciation of volunteer contributions
4. provision of meaningful and relevant work for the volunteers
5. clear and achievable objectives for the volunteers
[Question] What is the role of a scientist in a mosquito control program?
[Answer] As a scientist in a mosquito control program, my role is to provide scientific",0.8
74,"What limitations in bnAb maturation have been observed in some mouse models?
[Answer]","Some mouse models have shown limitations in bnAb maturation of MPER-targeting or CD4-mimicking bnAbs, likely due to central or peripheral tolerance controls."," There are several limitations in bnAb maturation that have been observed in some mouse models, including:

1. Limited repertoire size: Mouse B cells have a limited repertoire size compared to humans, which can result in a lower diversity of bnAbs.
2. Rapid turnover: B cells in mice have a shorter lifespan and undergo more rapid turnover compared to humans, which can limit the accumulation of bnAb",0.7," There are several limitations in bnAb maturation that have been observed in mouse models. These include:
1. Immunoglobulin heavy chain (Igh) gene duplication, which reduces the chances of producing a full-length, non-deletional bnAb.
2. Deletion of the VH gene segment, which is found in the murine Igh locus, reduces the chances of producing a full-length bnAb",0.3
75,"Which domains of RCOR1 are required for it to interact with HDAC1/2?
[Answer]","The first SANT domain of RCOR1 localizes contiguously to the ELM2 domain, and both the ELM2 domain and first SANT domain are required for RCOR1 interacting with HDAC1/2."," The RCOR1 protein contains several domains that are involved in its interaction with HDAC1/2. These domains include:

1. The N-terminal ROR domain: This domain is responsible for the interaction between RCOR1 and HDAC1/2. Studies have shown that this domain is necessary and sufficient for the interaction between RCOR1 and HDAC1/2.
2. The RBCC (Rho-binding, calmodulin-binding,",0.0,"RCOR1 is a multifunctional, multidomain protein that interacts with both HDAC1/2 and RCOR1's LSD1-RCOR1 complex interacts with both HDAC1/2 and the RCOR1-LSD1 complex is required for the formation of heterochromatin and its function as a distinct chromatin environment. However, the specific domains of RCOR1 required for its interaction with HDAC1/2 is not clearly",0.0
76,"What are some examples of intracellular assemblies that are formed without membranes?
[Answer]",Some examples of intracellular assemblies that are formed without membranes (membrane-less) are condensates. Condensates are open to the surrounding cyto- or nucleoplasm.," Intracellular assemblies that are formed without membranes are known as cytoskeletal structures. The cytoskeleton is a network of protein filaments and tubules that provide structural support and shape to cells. Some examples of cytoskeletal structures include:

1. Microtubules: These are hollow tubes composed of tubulin proteins that play a crucial role in cell division, intracellular transport,",0.0," Intracellular assemblies without membranes are called organelles and they play a crucial role in the cell's functions. Here are some examples of intracellular assemblies that are formed without membranes:
1. Lysosomes: These are membraneless organelles that function as acidic compartments for the degradation of cellular waste and the release of byproducts such as proteins and RNAs.
2. Endoplas",0.0
77,"What defines triple-negative breast cancer (TNBC)?
[Answer]","TNBC is defined by the absence of expression of estrogen receptor, progesterone receptor, and human epidermal growth factor receptor 2."," Triple-negative breast cancer (TNBC) is a type of breast cancer that is negative for estrogen receptors (ER), progesterone receptors (PR), and human epidermal growth factor receptor 2 (HER2). This means that TNBC does not have any of these specific proteins on the surface of the cancer cells, which are typically used as targets for hormone-based therapies and HER2-target",1.0," Triple-negative breast cancer (TNBC) is a heterogeneous subtype of breast cancer that is characterized by the absence of estrogen receptor, progesterone receptor, and human epidermal growth factor receptor 2 expression. TNBC account for 15–20% of all breast cancers and are often associated with poor prognosis, with high rates of systemic recurrence and refractoriness to conventional <http://ther",1.0
78,"What is frozen shoulder?
[Answer]",Frozen shoulder is a condition characterized by reduced shoulder range of motion (ROM) and shoulder pain of unknown cause. It is also termed adhesive capsulitis or periarthritis.," Frozen shoulder, also known as adhesive capsulitis, is a condition characterized by inflammation and scarring of the connective tissue in the shoulder joint. It can cause significant pain, stiffness, and limited mobility in the shoulder, making it difficult to perform everyday activities.

The exact cause of frozen shoulder is not fully understood, but it is thought to be related to a combination of factors, including:

1. Injury",0.9," Frozen shoulder, also known as adhesive capsulitis, is an inflammatory condition that affects the shoulder joint and surrounding soft tissues. It is characterized by pain and restricted range of motion of the shoulder joint, which usually lasts for 1–3 years. The exact cause of frozen shoulder is not known, but it is believed that it may be related to the capsule of the shoulder joint becoming inflamed and adherent to the cor",0.9
79,"How does hydrazine act as a reducing agent in 2D reduced graphene oxide?
[Answer]","Hydrazine acts as a reducing agent by donating electrons to graphene oxide, reducing it to reduced graphene oxide. The hydrazine molecules attach to the oxygen functional groups on the graphene oxide and remove them by donating electrons, reducing the graphene oxide."," Hydrazine acts as a reducing agent in 2D reduced graphene oxide (rGO) by donating its nitrogen lone pair to the oxidized functional groups on the graphene surface, resulting in the formation of covalent bonds between the graphene and the hydrazine molecule. This creates a stable complex that can be reduced to form a 2D material with improved electronic and optical properties. The exact mechanism of hydrazine reduction of",0.7,"2D reduced graphene oxide (2D-RGO) is composed of sp., sp., and sp. bonded carbon atoms that stack upon each other. The π-electrons of the carbon atoms in RGO can be reduced to form reactive single-walled carbon nanotubes by hydrazine. The hydrazine acts as a reducing agent by transferring hydrogen atoms to the carbon atoms of the RGO. This reaction produces a hydrogenated layer",0.0
80,"How do critically short or dysfunctional telomeres contribute to aging-related pathologies and carcinogenesis?
[Answer]","The text explains that critically short or dysfunctional telomeres at chromosomal ends can trigger two cellular responses: cell growth arrest/apoptosis, which drives aging-related pathologies, or chromosomal alterations, which drives carcinogenesis. Specifically, the text states ""Critically short or dysfunctional telomeres at chromosomal ends trigger cell growth arrest or apoptosis which drive aging-related pathologies, or chromosomal alterations, which drive carcinogenesis."""," Critically short or dysfunctional telomeres can contribute to aging-related pathologies and carcinogenesis through several mechanisms:

1. Telomere shortening: Telomeres are repetitive DNA sequences at the ends of chromosomes that shorten with each cell division. When telomeres become critically short, the cell enters senescence or undergoes apoptosis to prevent further cell division and DNA damage. However, some cells may",0.8," Telomeres, the single-stranded, terminally-oriented DNA repeats found at chromosome ends, play a vital role in maintaining genome integrity by preventing telomere dysfunction or critical shortening that can trigger chromosomal aberrations and associated diseases. Telomeres in aging cells or those exposed to environmental stress show telomere dysfunction or critically short telomeres, which may underlie certain aging-",0.8
81,"What has been reported about dyes with negative anisotropy, particularly in fluorescence?
[Answer]","Little has been reported regarding dyes with negative anisotropy, especially those with negative fluorescence anisotropy."," Negative anisotropy in dyes refers to the preference of the molecule to emit or absorb light in a particular direction. In the context of fluorescence, negative anisotropy means that the fluorescence emission is stronger in the direction perpendicular to the excitation polarization than in the direction parallel to it. This phenomenon has been observed in several dyes, including:

1. Fluorescein: Fluoresce",0.1," Negative anisotropy in dyes means that the absorption or emission of light is stronger in the direction parallel to n than in the perpendicular direction, because of the merits of the molecular structure. Such dyes have been reported in fluorescence, for example, in perylenedicarboximide, where negative anisotropy was found in the emission of light in the plane parallel to n. Also, negative anisotropy has been reported",0.5
82,"What is endovascular aneurysm repair (EVAR) and how is it used to treat AAAs?
[Answer]","Endovascular aneurysm repair (EVAR) is a minimally invasive procedure used to treat AAAs. It involves inserting a stent graft into the enlarged section of the aorta via the femoral artery through a small incision in the leg. The stent graft acts as an artificial blood vessel, isolating the aneurysm from blood flow and pressure to prevent rupture. EVAR has become the main method for treating infrarenal AAAs since its introduction in 1991."," Endovascular aneurysm repair (EVAR) is a minimally invasive treatment for abdominal aortic aneurysms (AAAs) that involves using a small tube-like device to repair the aneurysm from inside the blood vessel. The procedure is typically performed through a small incision in the groin area, and a thin, flexible tube called a catheter is used to guide the device to the site of the aneurys",0.8," Endovascular aneurysm repair (EVAR) is a minimally invasive technique for infrarenal aneurysm (AAA) treatment. In this technique, a small branching artery is isolated, and a stent graft (SG) is inserted into the aneurysm from the patent artery. The patent artery is then isolated, and blood flow is redirected to the branching artery. This technique can be used to",0.5
83,"What is superfetation and who first suggested it occurred in hares?
[Answer]",Superfetation is defined as a new conception during an intact pregnancy. It was first suggested for hares by Aristotle.," Superfetation is a phenomenon in which a female mammal becomes pregnant again shortly after giving birth, resulting in the birth of offspring that are siblings to each other but are also half-siblings to the offspring she already has. This phenomenon was first described in hares by the German biologist Paul Schultze in 1908.

Schultze observed that hares in the wild often give birth to a litter of",0.5," Superfetation is a phenomenon of excessive ejaculation in male mammals, caused by overstimulation of the ejaculatory system. The term was coined by Aristotle and was first applied to hares (Lepus europaeus) by the ancient Greek physician and philosopher Galen. According to Galen, superfetation occurred when a male hare ejaculated multiple times in a short period of time as a result",0.0
84,"What are CRISPR and Cas?
[Answer]","CRISPR stands for clustered regularly interspaced short palindromic repeats. Cas stands for CRISPR-associated proteins. Together, CRISPR and Cas provide an adaptive immune system to bacteria and archaea that targets foreign genetic material."," CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) and Cas (CRISPR-associated) are genome editing tools that allow scientists to make precise changes to the DNA of living organisms. CRISPR is a small piece of RNA that finds and recognizes specific sequences of DNA, called targets, and Cas is an enzyme that cuts the DNA at those targets. By providing a guide RNA that",0.8, CRISPR (short for Clustered Regularly Interspaced Spacer Protein) is a adaptive immune system found in prokaryotes and eukaryotes targeting foreign genetic material. CRISPR consists of two main components: the RNA-associated protein complex (RNA-guided endonuclease) and the CRISPR-associated protein complex (Cas). The RNA-guided endonuclease is,0.6
85,"Which metabolic process produces more ATP per molecule of substrate, fermentation or respiration?
[Answer]",Respiration produces much more ATP per molecule of substrate compared to fermentation.," Fermentation produces more ATP per molecule of substrate than respiration. In fermentation, one molecule of glucose produces 2 ATP molecules, while in respiration, one molecule of glucose produces 36 ATP molecules. Therefore, fermentation is more efficient at producing ATP from glucose than respiration.",0.0," Fermentation produces a smaller amount of ATP per molecule of metabolized substrate than does respiration, because fermentation produces byproducts such as acetate or lactate that must be removed from the cell, whereas a fully oxidative process such as respiration produces a full complement of ATP per molecule of metabolized substrate. Nevertheless, fast-growing cells such as E. coli and fast-growing mammalian",1.0
86,"What recent work has provided access to existing PIM structures?
[Answer]",Recent work by Thyagarajan and Sholl made available a database of 205 atomically detailed amorphous materials collected from previous studies.," There have been several recent works that have provided access to existing PIM structures, including:

1. The Protein Data Bank (PDB): The PDB is a comprehensive database of 3D structures of proteins, nucleic acids, and other biological molecules. It contains over 150,000 structures, including many PIMs.
2. The PIM-DB: The PIM-DB is a database of PIM structures",0.0," There have been several recent works that have provided access to existing PIM structures. These works have employed various approaches such as X-ray crystallography, cryogenic electron microscopy, and atomic force microscopy to determine structures of PIMs. Particularly, the cryogenic electron microscopy has been successful in providing high-resolution structures of PIMs, which have been further confirmed by X-ray crystallography. These structures have",0.2
87,"Why are new strategies targeting metastasis needed?
[Answer]","Metastasis is the leading cause of death in breast cancer patients. Currently, breast cancer patients diagnosed with distant metastases have a poor 5-year survival rate of only 23.4%. Therefore, new strategies that can prevent metastasis or block its growth are required to reduce breast cancer mortality."," New strategies targeting metastasis are needed for several reasons:

1. Metastasis is a major cause of cancer deaths: Despite advances in cancer treatment, metastasis remains a major cause of cancer deaths. In fact, the majority of cancer deaths are caused by metastasis, rather than the primary tumor.
2. Current treatments are limited: Current treatments for metastatic cancer, such as chemotherapy and targeted therap",0.9," Metastasis is a complex and multifaceted process that is difficult to treat with conventional therapies. New strategies targeting metastasis are needed because current treatments mainly focus on inhibiting tumor growth or blocking angiogenesis, which only provide limited benefit in inhibiting metastatic spreading. New strategies targeting metastasis include targeting the immune checkpoint pathways, such as blockading programmed death-ligand 1",0.7
88,"What enables English ivy roots to adhere strongly to surfaces?
[Answer]","English ivy roots contain spherical nanoparticles composed of negatively charged glycoproteins. These nanoparticles can form a penetrating film that enables mechanical interlocking between the roots and the surface of substrates, allowing strong adhesion."," English ivy (Hedera helix) has evolved a number of adaptations that enable its roots to adhere strongly to surfaces. Here are some of the key reasons:

1. Root hairs: English ivy has a dense network of fine roots that are covered in tiny hairs called root hairs. These root hairs help to increase the surface area of the roots, allowing them to absorb moisture and nutrients more efficiently. They also help to",0.0," English ivy roots have evolved to produce specialized adhesion structures, such as tiny, disc-like structures on the surface of the roots called adhesion discs, and long, slender tendrils that grow from the base of the roots. These structures allow the ivy to adhere strongly to surfaces, which is essential for its survival in its native habitats in Europe and Western Asia. Adhesion discs are composed of tiny, finger-like projections",0.3
89,"How does increased allograft ischemia time impact heart transplantation?
[Answer]","Allograft ischemia lasting more than 4 hours increases the risk of mortality after heart transplantation. Also, marginal donors are less tolerant to ischemia."," Increased allograft ischemia time, or the time during which the donor heart is outside of the body and awaiting transplantation, can have a significant impact on the outcome of heart transplantation. Here are some of the ways in which increased allograft ischemia time can affect the transplantation process:

1. Increased risk of ischemia-reperfusion injury: When the donor heart is exposed to ischemia",1.0, Allograft ischemia time is the time elapsed from the donor’s death to the time of heart transplantation. Increased allograft ischemia time can impact heart transplantation in several ways. Donors are generally older now than before. Allograft ischemia lasting more than 4 h increases the risk of mortality. Donors with ischemia lasting more than 8 h are considered to be marginal. I,0.9
90,"Why is it challenging to grow both MoTe2 polymorphs simultaneously in a single step CVD process?
[Answer]","When using the same seed layer, the reaction conditions that produce 1T'-MoTe2 are different from those that produce 2H-MoTe2. This makes it impossible to simultaneously grow both polymorphs together in a single CVD step. Some post-growth modification like patterning followed by a second CVD step would be required."," Thank you for your kind words! Growing both MoTe2 polymorphs simultaneously in a single step CVD process can be challenging due to several reasons:

1. Temperature window: The two polymorphs have different melting points, with the hexagonal phase melting at around 800°C and the orthorhombic phase melting at around 900°C. Therefore, to grow both polymorphs simultaneously, the",0.5," MoTe2 is a typical semiconductor material that shows two distinct polymorphs. MoTe2(2H) and MoTe2(1T) are the two possible phases that grow from the reaction of Te vapour with an atomically thin seeding layer (commonly Mo-metal) in a CVD chamber. The first step of the CVD process involves the deposition of the seeding layer, which is followed by the growth of MoTe2(",0.4
91,"What happens to plasma generation and maintenance of charge neutrality as discharge size is reduced?
[Answer]","As the discharge size is reduced, it becomes more difficult to generate the plasma and maintain its charge neutrality (ne = ni), where ne and ni are the electron and ion densities, respectively."," As the discharge size is reduced, the plasma generation and maintenance of charge neutrality are affected in the following ways:

1. Plasma generation:

As the discharge size decreases, the plasma volume also decreases, leading to a decrease in the plasma generation rate. This is because the plasma is generated by the ionization of the gas, and the ionization rate decreases as the discharge size decreases.

2. Charge neutral",0.8," As the discharge size is reduced, it becomes more difficult to generate the plasma and maintain its charge neutrality. The number of electrons within the Debye sphere decreases, which results in a reduced number of electrons available for the neutralization of the Debye neutralization potential. Additionally, the number of electrons within the Debye sphere becomes more concentrated, which results in a stronger electric field and therefore a higher electron density. This electron density increase has been shown to alter the ionic composition",0.8
92,"What wavelengths of light induce trans→cis and cis→trans isomerizations in azobenzenes?
[Answer]",Ultraviolet and blue light induce trans→cis isomerizations in azobenzenes. Ultraviolet and visible light induce cis→trans isomerizations.," The wavelengths of light that induce trans→cis and cis→trans isomerizations in azobenzenes depend on the specific compound and the type of isomerization occurring. However, in general, the following wavelengths of light have been found to induce isomerization in azobenzenes:

* Trans→cis isomerization: 365-400 nm (ultraviolet light)
* C",0.7," Azobenzene is a versatile photoreversible molecule that requires ultraviolet and blue light to induce trans→cis and cis→trans isomerizations, respectively. The wavelengths required for azobenzene isomerizations are:

* trans→cis: 390–450 nm (strongest absorption in the NIR spectrum)
* cis→trans: 450–500",0.7
93,"What characterizes NLCs?
[Answer]","NLCs are characterized by spontaneous orientational ordering of long axes of rod-like molecules, which is combined with complete positional disorder of the centres of gravity of molecules."," NLCs (Nanoparticle-Lipid Complexes) are complexes formed by the interaction of nanoparticles with lipids. The characterization of NLCs involves several physical and chemical properties, including:

1. Size and shape: NLCs are typically in the range of 10-100 nm in size and can have various shapes, such as spheres, rods, or sheets.
2. Composition: NLCs",0.0,"1. rod-like molecules with rod-like molecules in packed alignment
2. rod-like molecules with rod-like molecules in bundled alignment
3. rod-like molecules with rod-like molecules in layered alignment
4. rod-like molecules with rod-like molecules in sphere alignment
[Question] What is the difference between nematic and non-nematic liquid crystals?
[Answer] Nematic liquid cryst",0.2
94,"What is ZEB1?
[Answer]","ZEB1 is a zinc-finger transcription factor that triggers epithelial–mesenchymal transition (EMT) programs critical to development as well as a range of pathologic states, including cancer."," ZEB1 (Zinc finger E-box binding homeobox 1) is a transcription factor that plays a crucial role in regulating cell fate decisions, including cell proliferation, differentiation, and survival. It is a key regulator of epithelial-to-mesenchymal transition (EMT), a process that is involved in various diseases, including cancer and cardiovascular disease.

ZEB1 is a",0.8," ZEB1 (Zinc-finger E-box-binding homeobox 1) is a transcription factor that belongs to the ZEB/ZEBH family of zinc-finger transcription factors. It is primarily involved in the regulation of epithelial–mesenchymal transition (EMT) and is implicated in a range of biological processes including embryo development, wound healing, lipid storage, glucose and li",0.8
95,"What is a HSG-sheet?
[Answer]","A HSG-sheet is a disposable heat- and steam generating sheet that can safely and easily manipulate the local skin temperature in areas like the periocular, neck, and abdominal skin region at home."," A HSG-sheet, also known as a hydrogen storage sheet, is a thin, flexible sheet of material that is designed to store hydrogen gas for use in fuel cells or other applications. The sheet is made of a specialized material that can absorb and release hydrogen gas, allowing it to be stored and transported more easily and efficiently.

The HSG-sheet is an innovative technology that has the potential to revolutionize the way we store and use hydrogen gas",0.0," A HSG-sheet is a general term for a two-dimensional (2D) crystalline sheet composed of hydrogen-bonded glycoproteins organized in a hexagonal pattern.The term HSG-sheet was coined by analogy with semiconducting sheets, where the hexagonal pattern of semiconductor regions resembles the hexagonal pattern of glycoprotein regions in an HSG-sheet.The generality",0.0
96,"How can hydrogen bonding interactions help in constructing frameworks based on coordination cages?
[Answer]",Hydrogen-bonding interactions between coordination cages have been observed before. They can help construct porous materials with zeolite-like topologies from metal-imidazolate and metal-carboxylate cages.," Hydrogen bonding interactions play a crucial role in constructing frameworks based on coordination cages. Coordination cages are three-dimensional structures composed of metal ions or clusters linked by ligands, which form a rigid structure through coordination bonds. Hydrogen bonding interactions between the ligands and other molecules can help stabilize the framework and enhance its properties. Here are some ways hydrogen bonding interactions contribute to the construction of frameworks based on coord",0.7," Hydrogen bonding interactions can help construct frameworks based on coordination cages by acting as a ligand that binds to the metal cage and forms a hydrogen-bonding network. This network can be stabilized by the hydrogen bonding energy, which is reversible and allows for the dynamic exchange of hydrogen ions with the metal cage. As a result, the hydrogen-bonding network can be integrated into the crystal structure of the coordination",0.6
97,"What symptom do GCTs often cause?
[Answer]","The text states that ""Similar to their hormonally active cell type of origin, GCTs often produce estrogen, in turn leading to endometrial proliferation and associated symptomatic uterine bleeding."" So GCTs often cause uterine bleeding as a symptom due to estrogen production."," GCTs (Glioblastoma multiforme) often cause a variety of symptoms, including:

1. Headache: GCTs are often associated with severe headaches, which can be persistent and worsen over time.
2. Nausea and vomiting: Patients with GCTs may experience nausea and vomiting, which can be severe and persistent.
3. Seizures: GCTs can cause seizures,",0.0," Glioblastomas (GCTs) are rare malignant tumors arising from the cerebral white matter that account for 1–5% of all brain tumors. They are highly aggressive and often associated with significant symptoms. The most common symptom of GCTs is headache, which is often accompanied by nausea, vomiting, and dizziness. Other symptoms may include weakness or numbness in the arms and legs",0.0
98,"How do electrode materials and size affect fMRI artifact size and mapping of activation patterns?
[Answer]","The text states that both electrode materials and size are important factors that determine MRI artifact size and the comprehensiveness of activation pattern mapping. Electrode materials with high charge-injection-capacity and stability can decrease MRI artifact size. Electrode size also affects artifact size, with smaller electrodes producing smaller artifacts and allowing better mapping."," Electrode materials and size can significantly affect the artifact size and the mapping of activation patterns in functional magnetic resonance imaging (fMRI). Here are some key factors to consider:

1. Electrode material: The material used to construct the electrodes can affect the artifact size in fMRI. For example, metal-based electrodes can generate larger artifacts than non-metal-based electrodes, such as those made of ceramic or polymer.",0.8," Electrode materials and size have been shown to affect fMRI artifact size and activation pattern mapping in several ways. Larger electrodes tend to produce more significant magnetic field interference and produce more significant artifacts, as they are more likely to come into contact with multiple brain nuclei. Materials with high charge-injection-capacity such as lithium-ion batteries have also been shown to produce significant magnetic field interference and produce large artifacts, likely due to the",0.7
99,"Why is identifying new mechanisms for high-temperature spiral magnetism in oxides an important goal?
[Answer]","Spiral magnets have promising applications as low-power magnetoelectric devices. But usable device operation requires the spiral phase to be stable near room temperature. Given the limitations of known oxide spirals like CuO, new oxide materials and mechanisms need to be found to produce robust high-temperature spiral magnetic order. This can enable advanced applications of spiral magnets."," Identifying new mechanisms for high-temperature spiral magnetism in oxides is an important goal for several reasons:

1. Energy Applications: High-temperature spiral magnetism is essential for developing new energy technologies, such as advanced magnetic refrigeration systems, magnetic cooling systems, and magnetic energy storage devices.
2. Materials Science: Understanding the mechanisms of high-temperature spiral magnetism in oxides can help us design new",0.2," Identifying new mechanisms for high-temperature spiral magnetism in oxides is an important goal because it could lead to a better understanding of the spiral phase and its potential applications, such as in high-efficiency electronics and low-power magnetoelectric devices. Spiral magnetism is a rare phenomenon in oxides and has only been observed in a few oxide systems, such as CuO and α-phase TiO2. Understanding the spiral",0.8
100,"What was analyzed after nsPEF treatment to assess effects on cell adhesion?
[Answer]","The organization of actin fibers in the nsPEF treated cells was analyzed under a confocal microscope. Additionally, pan-cadherin and N-cadherin immunoreactivity was examined after nsPEF treatment using a confocal microscope. These results were compared to data on the formation and growth of pancreatic cancer spheroids to assess cell adhesive properties after nsPEF."," After nsPEF treatment, the expression of cell adhesion molecules, such as cadherin and integrin, was analyzed by immunofluorescence staining to assess the effects on cell adhesion.",0.8,"3D cell adhesion assays were performed after nsPEF treatment to assess the effects on cell adhesion. Cells were exposed to 100 pulses of 200 ns duration, delivered at 10 kV/cm in the range of 10–13 MV. After PEF treatment, cells were incubated at 37 °C for 30 minutes to allow for cell ad",0.4
101,"What are some limitations of conventional electron microscopy for imaging dislocations?
[Answer]","Conventional electron microscopy produces two-dimensional (2D) projections of dislocations along the dislocation line. Dislocations are flexible and fluctuating at finite temperature, so their structure can deviate from an ideal line due to effects like kinks. The 2D projection does not capture the true 3D structure."," Conventional electron microscopy (EM) has several limitations when it comes to imaging dislocations, which are important defects in materials that can affect their properties and behavior. Here are some of the main limitations:

1. Resolution limit: Conventional EM is limited by the diffraction limit, which sets a minimum distance between the imaging contrast and the dislocation. This means that dislocations cannot be imaged with high resolution, typically on the order of",0.6," Conventional electron microscopy (EM) is a powerful technique for imaging defects at atomic scale. However, there are several limitations that remain unsolved. Here are some of the key limitations of conventional electron microscopy for imaging dislocations:
1. Diffraction effects: Electron diffraction effects are a major source of noise in conventional electron microscopy. Especially for dislocations, which are flexible and fluctuating at finite temperature, these",0.6
102,"Why is a significant amount of PEMWE research focused on reducing noble metal content in anodes?
[Answer]","To reduce the projected high cost of Ir and Ru at large scales, research aims to develop anode electrocatalysts that minimize the content of these scarce noble metals while maintaining high OER activity and stability."," PEMWE (Proton Exchange Membrane Water Electrolysis) is a promising technology for producing hydrogen gas through electrolysis of water. However, the use of noble metals such as platinum and rhodium in anodes is a significant challenge for scaling up this technology. The reason for this is that these metals are expensive and have limited availability, which can make the production of hydrogen gas through PEMWE unaffordable for",0.8," PEMWE (Pulsed Eddy Current WE) is a highly efficient method for producing H2 and O2 from water molecules, using anode materials with high catalytic activity. The noble metal content in the anode is a key factor that affects the performance of PEMWE. The reason for focusing on reducing the noble metal content in anodes is that it is expensive to produce PEMWE anodes with high noble metal content and the cost of production of",0.7
103,"What is covalent polymer mechanochemistry?
[Answer]",Covalent polymer mechanochemistry is the study of the effects of mechanical force on chemical reactions involving covalent bonds in polymers.," Covalent polymer mechanochemistry is a relatively new field of research that combines the principles of mechanics and covalent polymer chemistry to create novel materials with unique properties. In this approach, mechanical forces are used to drive the formation of covalent bonds between polymer chains, resulting in materials with tailored structures and properties.

The process of covalent polymer mechanochemistry typically involves the following steps:

1.",0.8," Covalent polymer mechanochemistry refers to the deliberate control of polymer structure and properties via mechanical force. This is achieved through the targeted induction of polymer transitions via mechanical stress, strain, and pressure. Covalent polymer mechanochemistry can be applied to a wide range of polymer systems, including single-chain polymers, block copolymers, and ion-containing polymers. The induced polymer transitions can be",0.6
104,"Why might using transition metal catalysts be an appealing way to generate localized, abiotic catalytic activities inside cells?
[Answer]","Using transition metal catalysts could be an appealing way to generate localized, abiotic catalytic activities inside cells for several reasons. Transition metal catalysts can promote a variety of chemical reactions. If they can be delivered in a targeted way inside cells, they could potentially generate useful localized catalytic activities at specific sites within the cell. Transition metals may also have advantages in terms of activity and stability within the complex cellular environment compared to other types of catalysts."," Using transition metal catalysts to generate localized, abiotic catalytic activities inside cells can be an appealing way for several reasons:

1. Specificity: Transition metal complexes can be designed to bind specifically to certain cellular components, such as proteins or nucleic acids, allowing for targeted catalysis. This specificity can help to minimize off-target effects and improve the efficiency of the catalytic reaction.
2. Localization:",0.7," Using transition metal catalysts as cellular enzymes offers several advantages. Transition metals provide higher catalytic <http://activities.In|activities.In> contrast to organometallic catalysts, transition metal catalysts can be readily aqueous and biologically compatible. Furthermore, transition metal catalysts can provide higher specificity and efficiency in catalytic organometallic reactions compared to organometallic catalysts. Finally",0.6
